"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Get exercise","LMS service","Sat Oct 11 15:16:52 GMT 2025","passed","Sat Oct 11 15:16:52 GMT 2025","Get entity","Exercises","",""
"","289","Create user","LMS service","Sat Oct 11 15:16:57 GMT 2025","passed","Sat Oct 11 15:16:57 GMT 2025","Create entity","Users","",""
"","33","Update course","LMS service","Sat Oct 11 15:16:50 GMT 2025","passed","Sat Oct 11 15:16:50 GMT 2025","Update entity","Courses","",""
"","295","Delete user","LMS service","Sat Oct 11 15:17:00 GMT 2025","passed","Sat Oct 11 15:17:00 GMT 2025","Delete entity","Users","",""
"","263","Update user","LMS service","Sat Oct 11 15:16:59 GMT 2025","passed","Sat Oct 11 15:17:00 GMT 2025","Update entity","Users","",""
"","284","Get exercises","LMS service","Sat Oct 11 15:16:53 GMT 2025","passed","Sat Oct 11 15:16:53 GMT 2025","Get entities","Exercises","",""
"","261","Get file with incorrect file id","LMS service","Sat Oct 11 15:16:57 GMT 2025","passed","Sat Oct 11 15:16:57 GMT 2025","Validate entity","Files","",""
"","273","Create file with empty filename","LMS service","Sat Oct 11 15:16:55 GMT 2025","passed","Sat Oct 11 15:16:56 GMT 2025","Validate entity","Files","",""
"","29","Delete course","LMS service","Sat Oct 11 15:16:50 GMT 2025","passed","Sat Oct 11 15:16:50 GMT 2025","Delete entity","Courses","",""
"","553","Login with correct email and password","LMS service","Sat Oct 11 15:16:47 GMT 2025","passed","Sat Oct 11 15:16:48 GMT 2025","Login","Authentication","",""
"","269","Create file with empty directory","LMS service","Sat Oct 11 15:16:56 GMT 2025","passed","Sat Oct 11 15:16:56 GMT 2025","Validate entity","Files","",""
"","15","Get file","LMS service","Sat Oct 11 15:16:55 GMT 2025","passed","Sat Oct 11 15:16:55 GMT 2025","Get entity","Files","",""
"","289","Delete exercise","LMS service","Sat Oct 11 15:16:51 GMT 2025","passed","Sat Oct 11 15:16:52 GMT 2025","Delete entity","Exercises","",""
"","564","Create user","LMS service","Sat Oct 11 15:16:57 GMT 2025","passed","Sat Oct 11 15:16:57 GMT 2025","Create entity","Users","",""
"","36","Create course","LMS service","Sat Oct 11 15:16:48 GMT 2025","passed","Sat Oct 11 15:16:48 GMT 2025","Create entity","Courses","",""
"","15","Get user by id","LMS service","Sat Oct 11 15:16:59 GMT 2025","passed","Sat Oct 11 15:16:59 GMT 2025","Get entity","Users","",""
"","537","Create user","LMS service","Sat Oct 11 15:16:56 GMT 2025","passed","Sat Oct 11 15:16:57 GMT 2025","Create entity","Users","",""
"","261","Get user me","LMS service","Sat Oct 11 15:16:58 GMT 2025","passed","Sat Oct 11 15:16:58 GMT 2025","Get entity","Users","",""
"","27","Get course by id","LMS service","Sat Oct 11 15:16:49 GMT 2025","passed","Sat Oct 11 15:16:49 GMT 2025","Get entity","Courses","",""
"","276","Create exercise","LMS service","Sat Oct 11 15:16:51 GMT 2025","passed","Sat Oct 11 15:16:51 GMT 2025","Create entity","Exercises","",""
"","29","Get courses","LMS service","Sat Oct 11 15:16:49 GMT 2025","passed","Sat Oct 11 15:16:49 GMT 2025","Get entities","Courses","",""
"","26","Delete file","LMS service","Sat Oct 11 15:16:54 GMT 2025","passed","Sat Oct 11 15:16:54 GMT 2025","Delete entity","Files","",""
"","20","Update exercise","LMS service","Sat Oct 11 15:16:53 GMT 2025","passed","Sat Oct 11 15:16:53 GMT 2025","Update entity","Exercises","",""
"","267","Create file","LMS service","Sat Oct 11 15:16:54 GMT 2025","passed","Sat Oct 11 15:16:54 GMT 2025","Create entity","Files","",""
